word,memory,syn,ant,type
Special,特別的,Unique,Common,Core
Stern,嚴厲的/船尾,Severe,Kind,Core
Stomach,胃。ch 發 k 音,Belly,N/A,Core
Stoop,彎腰/屈尊,Bend,Rise,Core
Stout,肥胖的/壯實的,Fat,Thin,Core
Stress,壓力/強調,Pressure,Peace,Core
Stretched,拉長的,Extended,Short,Core
Stubborn,頑固的,Obstinate,Flexible,Core
Sturdy,強健的/堅固的,Strong,Weak,Core
Subdued,被壓制的/柔和的,Quiet,Loud,Elite
Submissive,服從的/順從的,Obedient,Defiant,Elite
Submit,提交/服從。雙M過去式,Yield,Resist,Core
Subterfuge,藉口/託辭,Trickery,Honesty,Elite
Subterranean,地下的,Underground,Surface,Elite
Successful,成功的。雙C雙S,Victorious,Failing,Core
Succumb,屈服/病死。b 不發音,Yield,Survive,Elite
Sufficient,足夠。雙F。-ient字尾,Enough,Lacking,Elite
Suggest,建議。雙G,Propose,Refuse,Core
Summit,山頂/峰會。雙M,Peak,Bottom,Core
Superfluous,多餘的/過剩的,Extra,Necessary,Elite
Superior,優越的/上級的,Better,Inferior,Core
Supposed,假設的/應當的,Assumed,N/A,Core
Surprise,驚訝。注意第一個 r,Astonish,Expected,Core
Suspect,懷疑/嫌疑犯,Doubt,Trust,Core
Suspend,暫停/懸掛,Hang,Continue,Core
Symbol,符號。注意-y-拼寫,Sign,Reality,Core
System,系統。注意-y-拼寫,Method,Chaos,Core
Temperate,溫和的/適度的,Mild,Extreme,Elite
Temperature,溫度。注意中間有-er-,Heat,Cold,Core
Tempestuous,狂暴的/劇烈的,Stormy,Calm,Elite
Temptation,誘惑,Lure,N/A,Core
Thorough,徹底。注意-ough拼寫,Complete,Partial,Elite
Thrust,猛推/刺,Push,Pull,Core
Torment,折磨/痛苦,Agony,Comfort,Elite
Traitor,叛徒/賣國賊,Betrayer,Loyalist,Core
Tranquil,平靜的/安寧的,Peaceful,Noisy,Elite
Trifle,瑣事/少量,Trivia,Important,Elite
Trivia,瑣事,Trifles,Facts,Core
Trivial,微不足道的,Minor,Major,Core
Turbulent,動盪的/混亂的,Stormy,Calm,Elite
Twelfth,第十二。注意中間有-f-,Numeric,Last,Elite
Twilight,黃昏/黎明,Dusk,Dawn,Core
Tyrant,暴君/專制者,Dictator,Leader,Elite
Unfathomable,深不可測的,Mysterious,Clear,Elite
Uniform,制服/一致的,Consistent,Varied,Core
Union,聯盟/聯合,Alliance,Separation,Core
Unite,團結/聯合,Join,Divide,Core
Unnecessary,不必要的。1C 2S,Extra,Essential,Core
Unorthodox,非正統的,Unusual,Standard,Elite
Unsurpassed,卓越的/無比的,Best,Worst,Elite
Vacant,空的。注意字尾 -ant,Empty,Full,Core
Vanished,消失的,Disappeared,Seen,Core
Vapour,水汽/蒸氣。英式 -our,Steam,N/A,Core
Variety,多樣性。注意-ie-拼寫,Diversity,Sameness,Core
Vast,巨大的,Huge,Tiny,Core
Vegetable,蔬菜。注意中間有-e-,Plant,Meat,Core
Vehicle,交通工具。注意-h-不發音,Transport,Pedestrian,Elite
Veil,面紗/遮掩。e 在 i 前,Cover,Reveal,Elite
Venerable,受人尊敬的,Respected,Infamous,Elite
Ventilation,通風/空氣流通,Airflow,N/A,Core
Vessel,船隻/容器。雙S,Ship,N/A,Core
Vicarious,間接體驗的,Indirect,Direct,Elite
Virtuous,正直的/有道德的,Moral,Evil,Elite
Volatile,不穩定的/易變的,Unstable,Steady,Elite
Wasteful,浪費的,Extravagant,Thrifty,Core
Weary,疲憊的。注意不是 Wary,Tired,Fresh,Core
Weird,怪異的。注意它是例外 e 在 i 前,Strange,Normal,Elite
Wholesome,健康的,Healthy,Unhealthy,Core
Wholly,完全地。注意雙L,Totally,Partly,Core
Wither,枯萎,Fade,Bloom,Core
Worthy,值得的/尊敬的,Valuable,Useless,Core
Wound,傷口/創傷,Injury,Heal,Core
Wretched,可憐的/惡劣的,Miserable,Happy,Elite
Yacht,遊艇。注意-cht-拼寫,Boat,Car,Elite
Yield,產出/屈服。i 在 e 前,Produce,Resist,Elite
Zealous,熱衷。注意-ea-拼寫,Eager,Indifferent,Elite
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
